ID,Assembly,TrackClass,TrackType,CellClass,CellType,Description,ProcessingLogs,Title,MetaData
SRX026533,hg38,TFs and others,ESR1,Uterus,Ishikawa,Primary Tissue=Uterus|Tissue Diagnosis=Adenocarcinoma,"30306165,46.6,3.4,2309",GSM589240: ERα sequencing in ETOH (ethanol) treated Ishikawa cells,source_name=Ishikawa breast cancer cells	cell line=Ishikawa breast cancer cells	fraction=ChIP DNA	antibody manufacturer=Santa Cruz	antibody catalog number=sc-543	antibody=ERα	agent=E2
SRX026534,hg38,TFs and others,ESR1,Uterus,Ishikawa,Primary Tissue=Uterus|Tissue Diagnosis=Adenocarcinoma,"29355816,48.9,3.6,1560",GSM589241: ERα sequencing in E2 (estradiol) treated Ishikawa cells,source_name=Ishikawa breast cancer cells	cell line=Ishikawa breast cancer cells	fraction=ChIP DNA	antibody manufacturer=Santa Cruz	antibody catalog number=sc-543	antibody=ERα	agent=E2
SRX026535,hg38,TFs and others,ESR1,Uterus,ECC-1,Primary Tissue=Uterus|Tissue Diagnosis=Adenocarcinoma,"21134429,68.1,4.6,911",GSM589242: ERα sequencing in ETOH (ethanol) treated ECC1 cells,source_name=ECC1 breast cancer cells	cell line=ECC1 breast cancer cells	fraction=ChIP DNA	antibody manufacturer=Santa Cruz	antibody catalog number=sc-543	antibody=ERα	agent=ETOH (ethanol)
SRX026536,hg38,TFs and others,ESR1,Uterus,ECC-1,Primary Tissue=Uterus|Tissue Diagnosis=Adenocarcinoma,"15293757,67.5,6.9,1165",GSM589243: ERα sequencing in E2 (estradiol) treated ECC1 cells,source_name=ECC1 breast cancer cells	cell line=ECC1 breast cancer cells	fraction=ChIP DNA	antibody manufacturer=Santa Cruz	antibody catalog number=sc-543	antibody=ERα	agent=E2
SRX026902,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"20876237,64.0,91.8,1486",GSM594602: ER ChIP-Seq - Estrogen treated,source_name=MCF7 cell line	cell line=MCF7	chromatin ip antibody=ER	chromatin ip antibody description=anti-estrogen receptor	analysis batch=17
SRX026903,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"20784564,77.8,86.0,115",GSM594603: ER ChIP-Seq,source_name=MCF7 cell line	cell line=MCF7	chromatin ip antibody=ER	chromatin ip antibody description=anti-estrogen receptor	analysis batch=17
SRX029087,hg38,TFs and others,FOS,Blood,K-562,Primary Tissue=Blood|Tissue Diagnosis=Leukemia Chronic Myelogenous,"53110999,80.3,12.7,28412",GSM610336: K562 TPA-FOS,"source_name=K562 Cells, 24 hours following induction with TPA	cell line=K562	treatment group=24 hours following induction with TPA	chip antibody=FOS"
SRX029088,hg38,TFs and others,FOS,Blood,K-562,Primary Tissue=Blood|Tissue Diagnosis=Leukemia Chronic Myelogenous,"47658387,84.8,22.2,44654",GSM610337: K562 TPA-FOSB,"source_name=K562 Cells, 24 hours following induction with TPA	cell line=K562	treatment group=24 hours following induction with TPA	chip antibody=FOS"
SRX036563,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"14075733,54.9,16.5,101",GSM640421: ER control,"source_name=Tamoxifen resistance MCF7 cell line	cell type=Breast cancer cell	cell line=MCF7, tamoxifen resistance	agent=untreated	chip antibody=ER	vendor=Santa Cruz Biotechnology	catalog number=sc-8005"
SRX036564,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"16401648,44.3,18.5,497",GSM640422: ER E2 treat,"source_name=Tamoxifen resistance MCF7 cell line	cell type=Breast cancer cell	cell line=MCF7, tamoxifen resistance	agent=E2 treated	chip antibody=ER	vendor=Santa Cruz Biotechnology	catalog number=sc-8005"
SRX036635,hg38,TFs and others,ESR1,Bone,U2OS,"Tissue=bone|Lineage=mesoderm|Description=osteosarcoma from the tibia of a 15 year old, J. Ponten and E. Saksela derived this line (originally 2T) in 1964 from a moderately differentiated sarcoma, viruses were not detected during co-cultivation with WI-38 cells or in CF tests against SV40, RSV or adenoviruses, mycoplasma contamination was detected and eliminated in 1972, (PMID: 6081590)","12854413,90.3,12.0,46645",GSM641426: ChIP ER E2,source_name=Cell line	strain=U2OS-ERalpha (stable)	antibody=anti-ERalpha HC20
SRX036636,hg38,TFs and others,ESR1,Bone,U2OS,"Tissue=bone|Lineage=mesoderm|Description=osteosarcoma from the tibia of a 15 year old, J. Ponten and E. Saksela derived this line (originally 2T) in 1964 from a moderately differentiated sarcoma, viruses were not detected during co-cultivation with WI-38 cells or in CF tests against SV40, RSV or adenoviruses, mycoplasma contamination was detected and eliminated in 1972, (PMID: 6081590)","11564730,84.6,9.9,487",GSM641427: ChIP ER Veh,source_name=Cell line	strain=U2OS-ERalpha (stable)	antibody=anti-ERalpha HC20
SRX039139,hg38,TFs and others,FOS,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"22464712,96.7,4.0,3503",GSM659789: cFos sequencing in estradiol (E2) treated MCF-7 cells,"source_name=MCF-7 breast cancer cells	cell type=MCF-7 breast cancer cells, E2 treated	chip antibody=cFos - Cat# sc-7202, Santa Cruz"
SRX039140,hg38,TFs and others,FOS,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"18991389,94.9,3.2,323",GSM659790: cFos sequencing in non-treated (DMSO as vehicle) MCF-7 cells,"source_name=MCF-7 breast cancer cells	cell type=MCF-7 breast cancer cells, non-treated	chip antibody=cFos - Cat# sc-7202, Santa Cruz"
SRX039141,hg38,TFs and others,JUN,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"19619036,97.6,5.8,363",GSM659791: cJun sequencing in estradiol (E2) treated MCF-7 cells,"source_name=MCF-7 breast cancer cells	cell type=MCF-7 breast cancer cells, E2 treated	chip antibody=cJun - Cat# sc-45, Santa Cruz"
SRX039142,hg38,TFs and others,JUN,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"18074227,96.3,4.2,423",GSM659792: cJun sequencing in non-treated (DMSO as vehicle) MCF-7 cells,"source_name=MCF-7 breast cancer cells	cell type=MCF-7 breast cancer cells, non-treated	chip antibody=cJun - Cat# sc-45, Santa Cruz"
SRX042342,hg38,TFs and others,ESR1,Breast,MCF-7-LTED,,"32479576,98.5,5.3,1088","GSM675073: MCF-7,LTED ER-ChIP-seq","source_name=MCF-7/LTED cells	cell type=MCF-7	chip antibody=Mouse-anti-ER*	vendor=Neomarkers, clone Ab-10 (TE111.5D11)	chip antibody=Rabbit-anti-ER*"
SRX042343,hg38,TFs and others,ESR1,Breast,HCC1428-LTED,,"28485756,97.3,6.5,723","GSM675074: HCC-1428,LTED ER-ChIP-seq","source_name=HCC-1428/LTED cells	cell type=HCC-1428	chip antibody=Mouse-anti-ER*	vendor=Neomarkers, clone Ab-10 (TE111.5D11)	chip antibody=Rabbit-anti-ER*"
SRX047083,hg38,TFs and others,MED12,Prostate,LNCAP,Primary Tissue=Prostate|Tissue Diagnosis=Carcinoma,"25261293,19.8,2.7,85",GSM686945: LNCaP-MED12-dht-siCTRL-ChIP-Seq,source_name=Prostate cancer cell line (LNCaP)	cell line=LNCaP	sirna transfection=siCTRL (1027280)	agent=DHT	chip antibody=MED12	chip antibody vendor=Bethyl	transgenes=none
SRX047084,hg38,TFs and others,MED12,Prostate,LNCAP,Primary Tissue=Prostate|Tissue Diagnosis=Carcinoma,"24893460,21.2,2.4,129",GSM686946: LNCaP-MED12-dht-siFoxA1-ChIP-Seq,source_name=Prostate cancer cell line (LNCaP)	cell line=LNCaP	sirna transfection=siFoxA1 (M-010319)	agent=DHT	chip antibody=MED12	chip antibody vendor=Bethyl	transgenes=none
SRX067435,hg38,Histone,H3K27ac,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"51868873,82.5,12.5,39786",GSM733684: Bernstein HeLa-S3 H3K27ac,"source_name=HeLa-S3	biomaterial_provider=ATCC	biomaterial_type=immortalized cell line	line=HeLa-S3	lab=Broad	lab description=Bernstein - Broad Institute	datatype=ChipSeq	datatype description=Chromatin IP Sequencing	cell organism=human	antibody antibodydescription=rabbit polyclonal. Antibody Target: H3K27ac	antibody targetdescription=Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.	antibody vendorname=abcam	antibody vendorid=ab4729	treatment=None	treatment description=No special treatment or protocol applies	control=std	control description=Standard input signal for most experiments.	controlid=wgEncodeEH001013	replicate=1,2	softwareversion=ScriptureVPaperR3"
SRX070878,hg38,TFs and others,FOS,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"15236556,87.2,22.9,14707",GSM730703: cFOS ChIP-seq A,source_name=Chromatin IP against cFOS	cell-type=umbilical vein endothelial cells	passage=04/19/2010
SRX070879,hg38,TFs and others,FOS,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"39973835,97.1,20.9,42274",GSM730704: cFOS ChIP-seq B,source_name=Chromatin IP against cFOS	cell-type=umbilical vein endothelial cells	passage=07/06/2010
SRX082163,hg38,TFs and others,FOS,Blood,GM12878,"Tissue=blood|Lineage=mesoderm|Description=B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus","10045022,77.6,3.2,1444",GSM754332: cFos ChIP-Seq,source_name=Lymphoblastoid cell-line	cell-type=GM12878	description=lymphoblastoid cell-line derived from NA12878	antibody=c-Fos
SRX092306,hg38,TFs and others,FOS,Blood,K-562,Primary Tissue=Blood|Tissue Diagnosis=Leukemia Chronic Myelogenous,"54237091,98.0,4.8,14153",GSM777644: UChicago ChipSeq K562 eGFP-FOS Control eGFP-FOS,"source_name=K562	biomaterial_provider=ATCC	lab=UChicago	lab description=White - University of Chicago	data type=ChipSeq	data type description=ChIP-Seq	cell=K562	cell organism=human	cell description=leukemia, ""The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises."" - ATCC	cell karyotype=cancer	cell lineage=mesoderm	cell sex=F	antibody=eGFP-FOS	antibody antibody description=Goat polyclonal	antibody target description=Fos	antibody vendor name=Kevin White	antibody vendor id=(None)	control=Control_eGFP-FOS	control description=This data represents a control being compared to experiments using antibody eGFP-FOS	control=Control_eGFP-FOS	control description=This data represents a control being compared to experiments using antibody eGFP-FOS	control id=K562/Input/Control_eGFP-FOS	replicate=1	replicate description=tier 1"
SRX10024461,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"65889644,97.7,15.3,1475",GSM5065095: ChIP-seq Luc KD-Veh Rep1 ERa; Homo sapiens; ChIP-Seq,source_name=MCF-7	cell line=MCF-7	genotype=LucKD	treatment=Vehicle	biological replicate=Replicate1	antibody=ERa
SRX10024462,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"35627249,97.3,20.2,968",GSM5065096: ChIP-seq Luc KD-Veh Rep2 ERa; Homo sapiens; ChIP-Seq,source_name=MCF-7	cell line=MCF-7	genotype=LucKD	treatment=Vehicle	biological replicate=Replicate 2	antibody=ERa
SRX10024465,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"33808184,97.4,15.5,4007",GSM5065099: ChIP-seq Luc KD-E2 Rep1 ERa; Homo sapiens; ChIP-Seq,source_name=MCF-7	cell line=MCF-7	genotype=LucKD	treatment=E2	biological replicate=Replicate1	antibody=ERa
SRX10024466,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"38550535,97.5,15.6,3763",GSM5065100: ChIP-seq Luc KD-E2 Rep2 ERa; Homo sapiens; ChIP-Seq,source_name=MCF-7	cell line=MCF-7	genotype=LucKD	treatment=E2	biological replicate=Replicate 2	antibody=ERa
SRX10024469,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"35635816,97.6,13.7,946",GSM5065103: ChIP-seq PARP-1 KD-Veh Rep1 ERa; Homo sapiens; ChIP-Seq,source_name=MCF-7	cell line=MCF-7	genotype=PARP-1KD	treatment=ERa	biological replicate=Replicate1	antibody=ERa
SRX10024470,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"32434103,97.3,16.2,894",GSM5065104: ChIP-seq PARP-1 KD-Veh Rep2 ERa; Homo sapiens; ChIP-Seq,source_name=MCF-7	cell line=MCF-7	genotype=PARP-1KD	treatment=ERa	biological replicate=Replicate 2	antibody=ERa
SRX10024473,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"28893331,97.7,16.8,3627",GSM5065107: ChIP-seq PARP-1 KD-E2 Rep1 ER; Homo sapiens; ChIP-Seq,source_name=MCF-7	cell line=MCF-7	genotype=PARP-1KD	treatment=ERa	biological replicate=Replicate1	antibody=ERa
SRX10024474,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"42225267,97.8,15.7,2943",GSM5065108: ChIP-seq PARP-1 KD-E2 Rep2 ER; Homo sapiens; ChIP-Seq,source_name=MCF-7	cell line=MCF-7	genotype=PARP-1KD	treatment=ERa	biological replicate=Replicate 2	antibody=ERa
SRX100265,hg38,TFs and others,ESR1,Breast,H3396,,"6535267,94.8,28.6,1447",GSM801056: ERa E2,source_name=H3396 cells	cell line=H3396 cells	treatment=estrogen	comment=Santa Cruz: ERa (HC20)	chip antibody=ERa	chip antibody manufacturer=Santa Cruz
SRX100266,hg38,TFs and others,ESR1,Breast,H3396,,"4706909,93.0,29.1,445",GSM801057: ERa EtOH,source_name=H3396 cells	cell line=H3396 cells	treatment=ethanol	comment=Santa Cruz: ERa (HC20)	chip antibody=ERa	chip antibody manufacturer=Santa Cruz
SRX1002670,hg38,Histone,H3K27ac,Uterus,EEC16,,"52732293,96.0,10.5,56315",GSM1663010: iEEC16 H3K27ac NA rep1 1; Homo sapiens; ChIP-Seq,source_name=endometriosis epithelial cell line	cell line=EEC16	tissue=endometriosis epithelial cells	antibody=H3K27ac (Abcam ab4729)
SRX1002671,hg38,Histone,H3K27ac,Uterus,EEC16,,"57808111,96.9,13.5,60612",GSM1663011: iEEC16 H3K27ac NA rep2 1; Homo sapiens; ChIP-Seq,source_name=endometriosis epithelial cell line	cell line=EEC16	tissue=endometriosis epithelial cells	antibody=H3K27ac (Abcam ab4729)
SRX1002678,hg38,Histone,H3K27ac,Uterus,Fallopian tube secretory epithelial cell,,"48547361,93.2,84.7,17054",GSM1663018: iFTSEC246 H3K27ac NA rep1 1; Homo sapiens; ChIP-Seq,source_name=fallopian tube secretory epithelial cell line	cell line=FT246	tissue=fallopian tube secretory epithelial cells	antibody=H3K27ac (Abcam ab4729)
SRX1002679,hg38,Histone,H3K27ac,Uterus,Fallopian tube secretory epithelial cell,,"47106989,92.9,85.2,16632",GSM1663019: iFTSEC246 H3K27ac NA rep2 1; Homo sapiens; ChIP-Seq,source_name=fallopian tube secretory epithelial cell line	cell line=FT246	tissue=fallopian tube secretory epithelial cells	antibody=H3K27ac (Abcam ab4729)
SRX1002686,hg38,Histone,H3K27ac,Uterus,Fallopian tube secretory epithelial cell,,"44343218,96.9,76.5,26454",GSM1663026: iFTSEC33 H3K27ac NA rep1 1; Homo sapiens; ChIP-Seq,source_name=fallopian tube secretory epithelial cell line	cell line=FT33	tissue=fallopian tube secretory epithelial cells	antibody=H3K27ac (Abcam ab4729)
SRX1002687,hg38,Histone,H3K27ac,Uterus,Fallopian tube secretory epithelial cell,,"46124518,96.1,78.6,24389",GSM1663027: iFTSEC33 H3K27ac NA rep2 1; Homo sapiens; ChIP-Seq,source_name=fallopian tube secretory epithelial cell line	cell line=FT33	tissue=fallopian tube secretory epithelial cells	antibody=H3K27ac (Abcam ab4729)
